DEPCOM,NOM_COM,IRIS,DCOMIRIS,NOM_IRIS,TYP_IRIS,Ligne,LIB_IRIS,area,id,@id,attraction,leisure,type,name,source,building,access,barrier,wheelchair,operator,fixme,surface,architect,website,max_age,min_age,@relations,COUNT,NUMPOINTS,sum
13208,Marseille 8e Arrondissement,0805,132080805,Mermoz-Grand Pavois,H,Rond-point du Prado,Mermoz-Grand Pavois,244769,,,,,,,,,,,,,,,,,,,,0,0,0
13208,Marseille 8e Arrondissement,0802,132080802,Grand Saint-Giniez,H,Rond-point du Prado,Grand Saint-Giniez,179606,way/183521969,way/183521969,,playground,,,,,private,,,,,,,,,,,1,0,1
13208,Marseille 8e Arrondissement,0703,132080703,Rabatau,H,Rond-point du Prado,Rabatau,310356,way/387834377,way/387834377,,playground,,,survey,,,,,,,,,,,,,1,0,1
13208,Marseille 8e Arrondissement,0402,132080402,Mermoz Prado,H,Périer,Mermoz Prado,94168,way/256476482,way/256476482,,playground,,,Bing + terrain,,,,,,,,,,,,,1,0,1
13208,Marseille 8e Arrondissement,0701,132080701,Turcat Mery,H,Périer,Turcat Mery,224229,,,,,,,,,,,,,,,,,,,,0,0,0
13208,Marseille 8e Arrondissement,0704,132080704,Louvain,H,Périer,Louvain,189396,,,,,,,,,,,,,,,,,,,,0,0,0
13208,Marseille 8e Arrondissement,0801,132080801,Parc Chanot,D,Rond-point du Prado,Parc Chanot,613291,,,,,,,,,,,,,,,,,,,,0,2,2
13209,Marseille 9e Arrondissement,0803,132090803,Romain Rolland-Claudel,H,Sainte-Marguerite Dromel,Romain Rolland-Claudel,303836,,,,,,,,,,,,,,,,,,,,0,0,0
13209,Marseille 9e Arrondissement,0802,132090802,La Pauline,H,Sainte-Marguerite Dromel,La Pauline,100528,,,,,,,,,,,,,,,,,,,,0,0,0
13209,Marseille 9e Arrondissement,0801,132090801,Metro Dromel,H,Sainte-Marguerite Dromel,Metro Dromel,621080,,,,,,,,,,,,,,,,,,,,0,0,0
13214,Marseille 14e Arrondissement,0302,132140302,Casanova,H,Bougainville,Casanova,831194,way/69663873,way/69663873,,playground,,Toy Land,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,yes,,,,,,,,,,,,1,0,1
13215,Marseille 15e Arrondissement,0501,132150501,Zoccolat,H,Bougainville,Zoccolat,341681,,,,,,,,,,,,,,,,,,,,0,0,0
