Identifiant,Titre,Latitude,Longitude,Prix nuitee,Commune,Departement,Type de propriete,Id. type de logement,Type de logement,Capacite d'accueil,Nombre de salles de bain,Nombre de chambres,Nombre de lits,Type de lit,Cuisine,Internet,Television,Produits de base,Shampooing,Chauffage,Climatisation,Machine a laver,Seche-linge,Parking gratuit sur place,Internet sans fil,Television par cable,Petit dejeuner,Animaux acceptes,Pour familles/enfants,Adapte aux evenements,Logement fumeur,Acces handicapes,Ascenseur,Cheminee d'interieur,Interphone,Portier,Piscine,Jacuzzi,Salle de sport,Entree dans les lieux 24h/24,Cintres,Fer a repasser,Seche-cheveux,Espace de travail pour ordinateur,Detecteur de fumee,Detecteur de monoxyde,Kit de premiers secours,Fiche securite,Extincteur,Porte de la chambre avec verrou,Reduction a la semaine,Reduction au mois,Surcout par voyageur supplementaire,Frais de menage,Caution,Duree minimale du sejour,Animal sur place,Conditions d'annulation,Disponible
6570946,T2 a  100 metres de la plage,43.23776602182,5.36318637144768,70,MARSEILLE,13,Appartement,3,Logement entier,3,5,1,0,,X,,X,X,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,0,0,30,30,0,1,,,False
6577356,Calme et soleil en centre-ville !,43.2955552016793,5.3949313871441,75,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,2,,X,,,,,X,,X,,,X,,,,X,,,,X,,,X,,,,,,,,,,,,,,,0,0,0,0,450,6,,,True
6578695,<!-- react-text: 236 -->charmant studio dans joli quartier<!-- /react-text -->,43.2820586132218,5.37755326347489,51,MARSEILLE,13,Maison de ville,3,Logement entier,2,1,1,1,Vrai lit,X,,X,X,,,,,,,,,,,X,,,,,,,,,,,,,X,,,X,,,,,,0,0,0,0,200,5,,,True
6580080,PRES DU VIEUX PORT TRES BEL APPARTEMENT  105 Mt,43.2931494937117,5.37701007714286,102,MARSEILLE,13,Appartement,3,Logement entier,7,1,3,6,,X,X,X,X,,,,X,X,,X,X,,,X,X,,X,X,,X,,,,,,,,,,X,,,,,,0,0,10,0,0,7,,Flexibles,True
6582408,Marseille Plage,43.2888524258968,5.35966057383775,0,MARSEILLE,13,Appartement,3,Logement entier,0,1,1,0,Canape convertible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,False
6583584,Charmant appartement,43.2853093478916,5.39400993422926,55,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,0,Vrai lit,X,,X,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,X,X,,X,,,0,52,0,0,250,1,,,False
6583979,Joli grand appartement Centre,43.2984496116148,5.38099762855315,41,MARSEILLE,13,Appartement,2,Chambre privee,4,1,1,4,,X,X,X,X,,X,,X,,,X,X,,,X,,,,,X,X,,,,,,,,,,X,X,,X,,,0,0,25,0,0,7,,,True
6586821,<!-- react-text: 236 -->Grand studio notre dame de la garde<!-- /react-text -->,43.2833587287432,5.37336436760365,45,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,Canape convertible,X,X,X,X,,X,,,,,X,,,X,,,,,,,X,,,,,,,X,X,,X,,,,,,0,0,0,10,350,1,,,True
"6592835,""Appartement d&#x27,exception Parc Borely"",43.2627332649266,5.37928831057434,95,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,2,,X,X,X,,,X,X,,,X,X,X,,,X,,,,X,,X,,,,,,,,,,X,,,,,,0,0,0,40,450,3,,,True"
6595170,Private room near the Velodrome,43.2722962086785,5.39895694243804,50,MARSEILLE,13,Appartement,2,Chambre privee,2,1,1,0,Vrai lit,X,,X,X,,X,,X,X,,X,,,,,,,X,X,,,,,,,X,,,X,,,,,,,X,14,0,0,10,0,1,Chat(s),,False
"6597266,""JACUZZI ENTRE VIEUX PORT &amp, PLAGE ,)"",43.2883324249224,5.36668257910415,70,MARSEILLE,13,Appartement,3,Logement entier,4,2,1,0,,X,X,X,X,,X,,X,X,,X,X,,,,,,,X,,X,,,X,,,X,X,X,X,X,,X,X,X,,10,25,20,30,400,3,,,False"
6600617,<!-- react-text: 236 -->T4 confort Entre Ville et Calanques PARKING<!-- /react-text -->,43.2622937015437,5.39953578507071,75,MARSEILLE,13,Appartement,3,Logement entier,5,1,3,3,,X,,X,X,,X,,X,,X,,X,,X,X,,,,X,,,,,,,,X,X,X,X,X,,,X,,,20,20,0,0,600,3,,,True
6601666,<!-- react-text: 193 -->Maison au Vallon des Auffes<!-- /react-text -->,43.2854790735019,5.35418861892905,150,MARSEILLE,13,Maison,3,Logement entier,6,2,3,4,,X,X,X,,,,X,X,,X,X,,,,X,,,,,X,X,,,,,,X,X,,,X,,,,,,0,0,0,70,800,5,,,True
6605024,malmousque marseille jardin rare,43.2812877501783,5.34882662538026,55,MARSEILLE,13,Appartement,3,Logement entier,3,1,0,0,,X,,X,X,,X,,X,,,X,,,X,,,,,,,,,,,,,,,,,X,,,,X,,0,0,0,40,200,3,,,False
6614066,<!-- react-text: 193 -->TIMONE  001  Marseille   3***<!-- /react-text -->,43.2922323567112,5.40951419279251,65,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,2,,X,X,X,X,,X,X,X,X,,X,X,,X,X,X,,,,,X,,,,,X,X,X,X,X,X,,,,,,9,9,0,40,400,3,,,True
6615893,Tres beau studio,43.3215086736388,5.41579704716773,35,MARSEILLE,13,Maison,3,Logement entier,2,1,1,1,Vrai lit,X,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,10,30,0,10,200,2,,,True
6622774,<!-- react-text: 193 -->Centre ville T1  36m2 clair 13005 / longue duree<!-- /react-text -->,43.2921031321517,5.39273772999294,65,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,2,,X,X,,X,,X,,X,,,X,,,,X,,,,,,X,,,,,X,,,,,X,,,,,,58,58,0,50,500,1,,,True
6623101,Chambre Bompard / Jardin / Piscine,43.2839168123603,5.35937662523251,90,MARSEILLE,13,Appartement,1,Chambre partagee,2,1,1,0,Vrai lit,X,,X,X,,X,,X,X,X,X,X,X,,,,,,,,,,X,,,,,,,,,,,,,,0,0,0,0,0,1,,,False
6623269,<!-- react-text: 193 -->T4 Endoume jardin / piscine parking<!-- /react-text -->,43.2835368865401,5.36119762534596,200,MARSEILLE,13,Appartement,3,Logement entier,5,1,3,3,,X,,,,,X,,X,X,X,X,X,,,X,,,,,,,,X,,,,,,,,,,,,,,0,0,0,0,0,2,,,True
6629308,<!-- react-text: 193 -->T2 type loft avec terrasse de 15 m2<!-- /react-text -->,43.2738716035529,5.38427496352271,80,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,Vrai lit,X,,X,,,X,,X,,,X,,,,,,,,X,,,,,,,,,,,,X,,,,,,0,0,0,50,600,3,,,True
6629765,Chambre privee dans appartement,43.3133658066858,5.37968636124945,39,MARSEILLE,13,Appartement,2,Chambre privee,2,1,1,1,Vrai lit,X,,X,X,,X,,X,,,X,,X,,,,,,,,,,,X,,,,X,X,,X,,,,,,0,0,0,0,0,1,,,True
6630522,?????????????,43.2919931059354,5.37093220875471,60,MARSEILLE,13,Bed & Breakfast,2,Chambre privee,1,1,1,0,Vrai lit,X,X,X,X,,X,,X,,,X,X,X,,,,,,X,,X,,,,,,,,,,,,,,,,17,59,0,0,0,1,,,True
6633245,<!-- react-text: 193 -->Charmant studio  avec belle terrasse<!-- /react-text -->,43.2977593020905,5.38802424561714,39,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,Canape convertible,X,X,,X,,X,X,,,,X,,,,,,,,,,X,,,,,,X,X,,,X,,,,,,0,0,0,20,0,3,,,True
6636304,<!-- react-text: 236 -->TERRASSE- CLIMATISATION- BAILLE CASTELLANE<!-- /react-text -->,43.28991004686,5.3903805408891,80,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,1,Vrai lit,X,X,X,X,,X,X,X,,,X,X,,,X,,,,X,,X,,,,,,X,X,X,,X,,,X,,,8,8,5,45,200,4,,,True
6638952,loue chambre proche stade Velodrome,43.2582657929674,5.41472452874607,90,MARSEILLE,13,Appartement,2,Chambre privee,2,1,1,0,Canape convertible,,,,X,,X,,,,X,,,X,,,,,,,,,,,,,,,,X,,X,,,,,,5,45,0,0,0,1,,,False
"6639021,""<!-- react-text: 193 -->Studio3 prox Centre Ville, Euromed<!-- /react-text -->"",43.3139482529035,5.37222718414757,35,MARSEILLE,13,Maison,2,Chambre privee,2,1,1,1,,X,,X,X,,X,,,,,X,,,,,,,,,,,,,,,,X,,,X,X,,,X,,,38,38,0,0,200,2,,,True"
6641196,Une oasis en ville,43.3031429135281,5.38104076955563,91,MARSEILLE,13,Appartement,3,Logement entier,6,1,2,0,,X,,,X,,X,,X,,,X,,,,X,X,,,,X,X,,,,,,,,,,X,,,,X,,0,27,0,40,0,5,Chat(s),,False
6664190,BEL APPART AU COEUR DE MARSEILLE,43.2938861576949,5.38480319467594,70,MARSEILLE,13,Appartement,3,Logement entier,6,1,2,0,,X,X,X,X,,X,,X,,,X,,,X,X,X,,,,,,,,,,,X,X,X,X,X,,,,,,0,0,0,40,0,1,,,False
6666029,<!-- react-text: 236 -->Appart 4 personnes centre Marseille<!-- /react-text -->,43.2909319163739,5.38662861302021,50,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,2,,X,X,X,X,,,,X,,,X,,,,,,,,,,X,,,,,,,,,,X,,,,,,12,12,0,0,200,1,,,True
"6667276,""<!-- react-text: 193 -->Charmant studio - terrasse, transats et calme!<!-- /react-text -->"",43.2937592015866,5.43472087371406,37,MARSEILLE,13,Maison,3,Logement entier,2,1,1,1,Vrai lit,,,,X,,X,,X,X,X,X,,,,X,,,,,,,,,,,,X,X,X,,X,,,,,,0,0,0,17,150,2,,,True"
6668734,<!-- react-text: 235 -->Chambrette a la Belle de Mai<!-- /react-text -->,43.3136805047301,5.3798661729447,23,MARSEILLE,13,Appartement,2,Chambre privee,2,1,1,1,Canape convertible,X,,,X,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,X,,X,,,,0,0,15,0,0,1,,,True
6668894,<!-- react-text: 236 -->CHAMBRE  CENTRE VILLE____ AVEC GARAGE<!-- /react-text -->,43.2910482414631,5.35627314679761,30,MARSEILLE,13,Appartement,2,Chambre privee,2,1,1,1,Vrai lit,X,X,,X,,X,X,X,,X,X,,,X,X,X,,,X,,X,,,,,X,X,X,X,X,X,,X,,,,10,10,0,0,0,1,Cat(s),,True
6671712,Duplex nature a Marseille,43.3174648473386,5.51089325777959,42,MARSEILLE,13,Maison,3,Logement entier,4,1,1,0,,X,,X,X,,X,,X,,X,X,,X,,X,,,,,,,,,,,,,,,,X,,,,,,15,30,0,0,200,2,Certains animaux,,True
6673168,<!-- react-text: 193 -->Mon cocon marseillais<!-- /react-text -->,43.2862746200601,5.41022584424439,49,MARSEILLE,13,Appartement,3,Logement entier,6,1,2,2,,X,X,X,X,,X,,X,X,X,X,X,X,,X,,,,,,X,,,,,X,X,X,,X,,,,X,,,20,20,10,20,500,2,,,True
6673614,<!-- react-text: 193 -->appart moderne a 5min de la plage !<!-- /react-text -->,43.2436863742004,5.37161873244575,80,MARSEILLE,13,Appartement,3,Logement entier,5,1,2,2,,X,,X,X,,,X,X,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,46,46,0,0,500,1,,,True
6675547,<!-- react-text: 236 -->Lovely accomodation for 3<!-- /react-text -->,43.2801924419733,5.37650238259897,32,MARSEILLE,13,Appartement,3,Logement entier,3,1,1,2,,X,X,,X,,X,,X,,,X,,,,X,,,,,,X,,,,,,,,,,X,,,,,,11,11,5,10,0,4,,,True
6677197,Studio 33m2 avec terasse,43.2829438430897,5.38770189842618,45,MARSEILLE,13,Appartement,3,Logement entier,4,1,0,0,,X,,X,X,,,,,,,X,,,X,,X,,,X,,,,,,,,,,,,,,,,,,14,0,0,0,0,1,,,False
6687811,Loft avec vue sur la mer,43.2397990671628,5.37593983433243,57,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,2,,X,X,,X,,,,X,X,,X,,,,X,,,,X,,X,,,,,,,X,,X,,,,,,,0,0,10,20,300,1,,,True
6687920,La maison de Nathalie a Marseille,43.3003516289185,5.39152010371033,110,MARSEILLE,13,Appartement,3,Logement entier,6,1,2,4,,X,X,X,X,,X,,X,,,X,X,X,,X,,,,X,,X,,,,,,X,X,X,X,,,,X,,,0,0,40,40,1000,1,,,True
"6689859,""<!-- react-text: 236 -->Grande maison 270m2, jardin piscine<!-- /react-text -->"",43.2523978067054,5.40655970622512,290,MARSEILLE,13,Maison,3,Logement entier,8,3,4,4,,X,X,X,X,,X,,X,X,X,X,X,,,X,,,,,X,X,,X,,,,,,,,X,,,,,,0,0,0,60,1500,7,,,True"
6690503,studio meuble charmant,43.3634148340045,5.35750851927209,41,MARSEILLE,13,Maison de ville,3,Logement entier,2,1,0,0,Canape convertible,X,,X,,,X,,,,X,X,,,X,X,X,,,,,,,,,,,,,,,X,,,,,,10,20,0,0,0,3,,,True
6701731,Appartement haut standing terrasse,43.2849220453814,5.37300310331647,85,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,0,,X,,X,X,,X,X,X,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,6,23,20,20,0,1,,,False
6702854,<!-- react-text: 236 -->Location Baille - Castellane 13006<!-- /react-text -->,43.2865141958283,5.38743549384098,100,MARSEILLE,13,Appartement,3,Logement entier,6,15,2,3,,X,X,X,X,,X,,X,,,X,,,,X,X,,,X,,X,,,,,X,,,,,X,,,,,,10,10,0,50,500,2,,,True
6705381,<!-- react-text: 236 -->Jolie T2 central et a 15mn des plages !!!<!-- /react-text -->,43.2778018471845,5.39387433458498,55,MARSEILLE,13,Appartement,3,Logement entier,3,1,1,2,,X,X,X,X,,X,,X,X,X,X,,,,X,,,,,,X,,,,,X,X,X,X,X,X,X,,,,,5,5,10,40,380,2,,,True
6710974,<!-- react-text: 236 -->Studio calme au Catalan<!-- /react-text -->,43.2867361042144,5.35986237061138,30,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,Vrai lit,X,,X,X,,X,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,,,,,0,0,0,15,0,2,,,True
"6711984,""Cours Julien en place charmante,"",43.2942369688375,5.38333604913599,50,MARSEILLE,13,Appartement,3,Logement entier,4,1,0,0,,X,X,X,X,,X,,X,,,X,,,X,X,,,,,,,,,,,,,,,,X,,,,,,0,0,0,30,0,1,,,False"
6712110,appartement proximite vieux port,43.2922439733436,5.36752839220594,60,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,0,,X,X,X,X,,X,,X,,,X,,,X,X,,,,,,,,,,,,X,X,X,,X,,,,,,0,0,0,30,0,1,,,False
6712645,<!-- react-text: 236 -->chambre de bonne vieux port<!-- /react-text -->,43.2934109683223,5.37366930793804,35,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,Vrai lit,X,,X,X,,X,X,,,,X,X,,,,,,,,,,,,,,,X,X,X,X,X,,X,,,,18,18,0,10,200,2,,,True
6712901,Grand appartement centre ville,43.291636952583,5.38074606064536,110,MARSEILLE,13,Appartement,3,Logement entier,6,2,3,0,,X,,X,,,X,,X,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,0,0,15,50,250,1,,,True
6718643,Maison de 140 m2 en bord de plages,43.2520365320318,5.37734100091611,175,MARSEILLE,13,Maison,3,Logement entier,6,2,4,6,,X,,X,X,,X,,X,,,X,,,,X,,,,,,,,,,,,X,X,X,X,,,,,,,0,0,0,60,2000,6,,Strictes,False
6719664,Les Restanquettes,43.350497007828,5.40565496991225,89,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,0,,X,,X,X,,X,,,,X,X,X,,,,,,,,,X,X,X,,,,X,X,X,X,X,X,,,X,,10,52,0,60,500,1,,,True
"6722344,""<!-- react-text: 236 -->70m2 design, vue et expo sud<!-- /react-text -->"",43.2977516821844,5.39142137406212,55,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,,X,X,X,X,,X,,X,,,X,X,,,X,,,,X,,X,,,,,X,,,,,,X,,,,,10,10,0,0,500,3,,,True"
6722836,<!-- react-text: 236 -->Calme et hyper centre<!-- /react-text -->,43.3016209192001,5.39261900436856,55,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,2,,X,X,X,X,,X,,X,,,X,X,X,,X,,,,,,X,,,,,,X,X,X,,,,,,,,10,10,10,5,200,3,Cat(s),,True
6723337,<!-- react-text: 193 -->Entre le stade et la plage ...<!-- /react-text -->,43.2638609469851,5.38794114987205,100,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,4,,X,,X,X,,X,,X,X,X,X,X,,,X,,,,X,,,,,,,,X,X,X,,X,,,,,,10,10,0,0,0,3,,,True
6724791,T2 45 m² avec terrasse proche mer,43.2471954619003,5.37604977576576,54,MARSEILLE,13,Appartement,3,Logement entier,3,1,1,0,Vrai lit,X,X,X,X,,X,X,X,,,X,,,,,,,,,,,,,,,,,X,X,,X,,,,,,0,0,0,30,300,3,,,False
6727082,Duplex en rez-de-jardin,43.2651056843066,5.40062669746826,140,MARSEILLE,13,Appartement,3,Logement entier,7,25,5,0,,X,,,X,,X,,X,,X,X,,,,X,,,,,,,,,,,,,,,,X,,,,,,8,0,0,50,500,4,,,False
6732389,loft atypique 100m2 belle de mai,43.3125862010229,5.38415190358839,55,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,0,,X,,X,X,,,,X,,,X,X,,X,X,,,,,,,,,,,,,,,,X,,,,,,9,49,0,0,500,3,,,False
6732957,<!-- react-text: 236 -->T3 design avec vue rue Paradis<!-- /react-text -->,43.2915424436798,5.37875865334413,50,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,2,,X,,X,X,,X,X,X,,,X,X,,,,,,,X,,,,,,,,,X,X,,X,,,,,,0,0,10,35,2000,2,,,True
6734597,<!-- react-text: 236 -->Studio calme au Cour Julien<!-- /react-text -->,43.2914080242824,5.38503108151925,40,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,,X,,X,X,,X,,,,,X,,,,,,,,,,,,,,,,X,,,X,X,,,,,,15,15,0,25,0,5,,,True
6736041,Studio vacances Calanque de Sormiou,43.2266350474537,5.40192203758726,58,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,0,Vrai lit,X,X,X,,,X,X,,,,X,,,,,,,,,,,,,,,,X,,,X,X,X,,,,,0,0,0,0,0,2,,,False
6738905,Belle Chambre-Plein Centre Ville,43.2894549586668,5.38423660536683,26,MARSEILLE,13,Appartement,1,Chambre partagee,3,1,1,1,Vrai lit,,,,X,,X,,,,,,,,,X,,,,,,,,,,,,X,,,X,,,X,,,,0,0,26,10,100,1,Certains animaux,,True
"6739424,""<!-- react-text: 236 -->Appart. central, 3 ch, terrasse, proche Castellane<!-- /react-text -->"",43.2908114344101,5.38985319730294,159,MARSEILLE,13,Appartement,3,Logement entier,6,1,3,4,,X,,X,X,,X,,X,,,X,X,,,X,,,,X,,,,,,,,X,X,X,X,,,,,,,10,10,0,0,350,5,Some pet(s),,True"
6740568,HAVRE DE PAIX ENTRE MER ET VILLE,43.2802650660479,5.35843961244272,400,MARSEILLE,13,Maison,3,Logement entier,6,2,3,4,,X,,X,X,,X,,X,X,X,X,X,,,X,,,,,X,,,X,,,,,,,,X,,,,,,0,0,0,50,2000,3,,,True
6742152,Superbe appartement en plein centre de Marseille,43.2860163117227,5.37633005299802,43,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,0,,X,X,X,X,,X,,X,,,X,,,X,,,,,,,X,,,,,,X,X,X,X,X,,,,,,0,12,10,22,500,5,Chien(s) et Chat(s),,False
6743587,Beau T1 et demi Avenue du Prado /Parc-Chanot Metro,43.2676311011859,5.38343928394038,57,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,0,,X,,X,X,,X,,,,,,,X,,X,,,,X,,X,X,,,,,X,X,X,X,X,,X,,,,7,0,0,15,300,2,,,False
6744098,Appart au coeur de la ville,43.295856245341,5.39156739654383,30,MARSEILLE,13,Appartement,3,Logement entier,3,1,1,2,,X,,X,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,0,0,0,30,200,6,,,True
"6744694,""<!-- react-text: 186 -->Maison au coeur d&#x27,Endoume<!-- /react-text -->"",43.283440468031,5.353230151159,180,MARSEILLE,13,Maison,3,Logement entier,7,2,4,4,,X,X,X,X,,,,X,X,,X,X,,,X,,,,,,X,,,,,,,,,,,,,,,,13,13,0,0,0,5,,,True"
6745079,<!-- react-text: 193 -->Appartement meuble tourisme semaine<!-- /react-text -->,43.2480592092807,5.37653662323173,70,MARSEILLE,13,Maison,3,Logement entier,5,3,3,4,,X,,X,X,,X,X,,,X,X,,,,X,,,,,,,,,,,,,,,,X,,,,X,,0,0,50,60,0,7,,,True
6751672,t3 climatise avec terrasse,43.3320541233224,5.45168013227242,50,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,0,,X,X,,X,,X,X,X,,X,X,X,X,X,X,X,,X,X,,X,,,,,,,,,,X,,X,X,,,29,0,0,0,500,1,,,False
6752028,Plus belle la vie dans le Panier,43.2963657660324,5.36799071585374,65,MARSEILLE,13,Appartement,3,Logement entier,3,1,2,0,,X,,,X,,X,,,,,X,,,,X,,,,,,,,,,,,X,X,X,X,X,,,,,,15,30,10,0,0,3,,,False
6752185,<!-- react-text: 236 -->Vue imprenable sur tout Marseille<!-- /react-text -->,43.2977940148235,5.38657826505015,45,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,Vrai lit,X,X,X,X,,X,,X,,,X,X,,,,,,,,,X,,,,,,,,,,X,,,,,,0,0,0,5,300,1,,,True
6752476,<!-- react-text: 193 -->Le toit de Marseille<!-- /react-text -->,43.2832669447428,5.35366114405126,492,MARSEILLE,13,Villa,3,Logement entier,11,3,5,5,,X,X,X,X,,X,X,X,,X,X,X,,,X,,,,,X,X,,,X,,X,X,X,X,X,,,,,,,10,10,0,170,800,2,,,True
6755334,<!-- react-text: 193 -->Chambre spacieuse GARE  ST CHARLES<!-- /react-text -->,43.3022841908711,5.37958056182916,25,MARSEILLE,13,Appartement,2,Chambre privee,4,1,1,2,,X,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,0,0,3,,,True
6757427,<!-- react-text: 193 -->T2 Proche Corniche Kennedy 7eme arr<!-- /react-text -->,43.281835943345,5.35290222065408,65,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,Vrai lit,X,,X,X,,X,,,,,X,,,,,,,,,,,,,,,,X,X,X,,X,,,,,,16,16,5,0,300,1,,,True
6757962,Chambre a la Belle de Mai !,43.3105512348419,5.38700751061231,32,MARSEILLE,13,Appartement,2,Chambre privee,2,1,1,1,,,X,,X,,X,,X,,X,X,,,,X,,,,,,X,,,,,,,,,,X,X,X,,,,0,0,0,0,500,2,,,True
6763235,<!-- react-text: 193 -->vaste appartement centre ville<!-- /react-text -->,43.2989426799236,5.3776678101197,125,MARSEILLE,13,Appartement,3,Logement entier,9,1,4,6,,X,X,X,X,,X,,X,,X,X,,,X,X,,,,,,X,,,,,,,,,,,,,,,,0,0,0,80,1000,7,,,True
6764676,<!-- react-text: 236 -->residence le saint suffren<!-- /react-text -->,43.285453677671,5.38148448712666,45,MARSEILLE,13,Maison de ville,3,Logement entier,6,1,2,2,,X,X,X,X,,X,,X,,,X,,,X,X,,,X,X,,X,,,,,,,,,,X,,,,,,0,0,15,0,0,1,,,True
6765219,??villa cosy pied des calanques ??,43.2591817889988,5.39923918030656,98,MARSEILLE,13,Maison,3,Logement entier,6,1,2,3,,X,X,X,X,,X,X,X,,X,X,X,,X,X,,,,,,X,,X,,,X,X,,,X,X,,,,,,0,0,0,50,500,2,,,True
6769602,Appart 4/6 personnes dans le 4eme,43.3070461511267,5.39815223301306,50,MARSEILLE,13,Appartement,3,Logement entier,6,1,2,0,,X,X,X,X,,X,,X,,,X,,,,X,,,,X,,X,,,,,,,,,,X,X,,,,,0,0,0,0,0,10,,,False
6771380,APPARTEMENT SUR LE VIEUX PORT,43.2921922911259,5.36827815576842,75,MARSEILLE,13,Appartement,3,Logement entier,6,1,1,1,Vrai lit,X,X,X,X,,X,,,,,X,,X,,X,,,,,,X,,,,,,,,,,X,,,,,,0,0,10,10,450,1,,,True
6772079,T3 de charme Marseillais de 75 m2,43.3022024252465,5.38592495411629,75,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,2,,X,X,X,X,,X,,X,,,X,,,,X,,,,X,X,X,,,,,X,,,X,,,,,,,,0,0,0,15,400,2,,,True
6778001,<!-- react-text: 193 -->Au coeur du Panier<!-- /react-text -->,43.3001461047813,5.36837845038768,50,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,Vrai lit,X,X,X,X,,X,,X,,,X,X,,,,,,,,X,X,,,,,,,,,,X,,,,,,14,14,0,0,0,4,,,True
6779411,<!-- react-text: 193 -->Appart avec grande terrasse<!-- /react-text -->,43.2976195332182,5.3794823432945,30,MARSEILLE,13,Appartement,2,Chambre privee,2,1,1,1,Vrai lit,X,X,,X,,X,,X,,,X,,,,X,,,,X,,X,,,,,,,X,X,,X,,,,,,0,0,0,0,0,1,,,True
6779920,<!-- react-text: 193 -->LE PETIT MARSEILLAIS<!-- /react-text -->,43.284508129701,5.37776950365981,80,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,1,Vrai lit,X,X,X,X,,X,,X,,,X,,,X,X,,,,,,X,,,,,,X,,X,,X,,,,,,25,25,0,0,0,2,,,True
6779954,<!-- react-text: 236 -->Bel appart confortable<!-- /react-text -->,43.2738836959182,5.41437283964033,55,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,1,Vrai lit,X,X,X,X,,X,,X,,X,X,,,X,X,,,,X,,X,,,,,,,,,,,,,,,,13,13,15,25,150,1,,,True
6781119,Maison individuelle avec jardin,43.3135379316588,5.38378615536576,35,MARSEILLE,13,Maison de ville,2,Chambre privee,4,1,1,0,,X,X,X,X,,X,,X,,X,X,,,,X,,,,,,X,,,,,,X,,X,X,,,,,,X,11,20,20,30,250,2,,,False
"6786871,""<!-- react-text: 193 -->plein centre 120m2, Balcon /Large flat city center<!-- /react-text -->"",43.3002324206975,5.37975024454444,110,MARSEILLE,13,Appartement,3,Logement entier,6,1,3,4,,X,X,,X,,X,,X,,,X,,,,X,,,,,X,X,,,,,,,,,,X,,,,,,10,10,0,60,1000,5,,,True"
6787117,Heidi T3 spacieux avec vue degagee!,43.2974811670455,5.36451009998634,80,MARSEILLE,13,Appartement,3,Logement entier,6,1,2,0,,X,,X,X,,X,,X,,,X,X,,,X,X,,,,,,,,,,,,,,X,X,,,,,,0,0,0,40,500,5,,,False
6787560,Maison avec jardin a 50m de la mer,43.2811522304158,5.34954262858601,205,MARSEILLE,13,Maison,3,Logement entier,6,2,3,3,,X,,X,X,,X,,X,,X,X,X,,,X,,,,,X,,,,,,,,,,,X,X,,,,,0,0,0,70,1500,5,,,True
6792231,<!-- react-text: 193 -->Jardin VIEUX PORT PANIER LA SUITE<!-- /react-text -->,43.2989084953635,5.36801850037512,170,MARSEILLE,13,Appartement,3,Logement entier,8,1,3,8,,X,X,X,X,,X,X,X,,,X,X,,,X,,,,,,X,,,,,,,,,,X,,,,,,0,0,20,20,1000,2,Dog(s) et cat(s),,True
6792299,chambre dans villa,43.2808861435617,5.44465896407071,60,MARSEILLE,13,Villa,2,Chambre privee,2,1,1,0,Vrai lit,,,X,X,,X,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,15,0,1000,1,,,False
