Identifiant,Titre,Latitude,Longitude,Prix nuitee,Commune,Departement,Type de propriete,Id. type de logement,Type de logement,Capacite d'accueil,Nombre de salles de bain,Nombre de chambres,Nombre de lits,Type de lit,Cuisine,Internet,Television,Produits de base,Shampooing,Chauffage,Climatisation,Machine a laver,Seche-linge,Parking gratuit sur place,Internet sans fil,Television par cable,Petit dejeuner,Animaux acceptes,Pour familles/enfants,Adapte aux evenements,Logement fumeur,Acces handicapes,Ascenseur,Cheminee d'interieur,Interphone,Portier,Piscine,Jacuzzi,Salle de sport,Entree dans les lieux 24h/24,Cintres,Fer a repasser,Seche-cheveux,Espace de travail pour ordinateur,Detecteur de fumee,Detecteur de monoxyde,Kit de premiers secours,Fiche securite,Extincteur,Porte de la chambre avec verrou,Reduction a la semaine,Reduction au mois,Surcout par voyageur supplementaire,Frais de menage,Caution,Duree minimale du sejour,Animal sur place,Conditions d'annulation,Disponible
189206,<!-- react-text: 236 -->Appart central authentique terrasse<!-- /react-text -->,43.2920527625309,5.37540514677498,85,MARSEILLE,13,Appartement,3,Logement entier,6,1,2,4,,X,X,X,X,,X,X,X,X,,X,,,,X,,,,,,X,,,,,X,X,X,X,X,X,X,,,X,,10,10,10,20,150,2,,,True
"209187,""Villa  a Marseille les pieds dans l&#x27,eau."",43.2826283948409,5.34872787587611,400,MARSEILLE,13,Villa,3,Logement entier,6,1,3,3,,X,X,X,X,,X,X,X,X,,X,X,,X,X,,,,,X,X,,X,,,X,X,X,X,X,X,,,X,,,0,0,0,100,500,2,,,True"
217150,HAVRE DE PAIX,43.3033731468776,5.39261376031456,80,MARSEILLE,13,Appartement,3,Logement entier,5,1,3,0,,X,X,,X,,X,,X,X,,X,,,X,X,,,,,,X,,,,,,X,X,X,X,X,X,,,,,0,38,10,30,400,3,,,False
260277,meuble avec terrasse prix semaine degressif,43.2972772009706,5.3664999010352,70,MARSEILLE,13,Appartement,3,Logement entier,4,1,0,0,,X,X,X,,,X,X,X,,,X,X,,,X,,,,,,X,,,,,,,,,,,,,,,,12,29,10,0,150,3,,,False
265591,<!-- react-text: 236 -->STUDIO QUARTIER PANIER/VIEUX PORT<!-- /react-text -->,43.296595794745,5.36867149865144,50,MARSEILLE,13,Appartement,2,Chambre privee,2,1,1,2,,X,,X,,,X,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,14,14,0,20,0,2,,Strictes,True
271851,Chambre a louer Marseille Centre 5e,43.2964779606213,5.39456065548414,30,MARSEILLE,13,Appartement,2,Chambre privee,2,1,1,0,Vrai lit,X,X,X,,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,14,0,0,0,200,2,,,False
293671,Authentic Provence Sea View House,43.2148105091622,5.34325662407767,145,MARSEILLE,13,Maison,3,Logement entier,6,1,2,0,,X,X,X,X,,X,,X,X,,X,X,,,X,X,,,,,,,,,,,X,X,X,X,,,,,,,11,0,50,60,500,4,,,True
294010,Appartement chic en centre ville,43.2856160858891,5.38367827242485,55,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,0,,X,X,X,X,,X,X,,,,X,X,,X,,,,,,,X,,,,,,X,X,X,X,X,X,,,X,,15,0,0,0,200,3,,,False
300743,<!-- react-text: 236 -->Marseille : vue mer exceptionnelle<!-- /react-text -->,43.2859571523192,5.35263420884228,95,MARSEILLE,13,Bed & Breakfast,2,Chambre privee,4,2,2,2,,,,,X,,X,,X,,X,X,,X,,,,,,,X,,,,,,,X,X,X,,,,,,,,5,5,25,0,0,1,,,True
301320,<!-- react-text: 236 -->T1 splendide vue mer - Plage Catalans Pharo - Box<!-- /react-text -->,43.2882194993695,5.35762883141661,59,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,,X,X,X,X,,X,X,X,,,X,,,,,,,,X,,X,,,,,X,X,X,X,X,X,X,,,,,5,5,0,0,300,3,,,True
